Run; Flow; Pressure; Speed; Force; Torque; Brake Power; Hydraulic Power; Efficiency; Head
1; 22.94; 157.7; 5100; 0.00; 0.000; 0.09; 60.28; 0.1; 16.07 
2; 22.88; 158.2; 4975; 0.06; 0.003; 1.49; 60.34; 2.5; 16.13 
3; 22.82; 159.9; 4856; 0.13; 0.006; 2.92; 60.83; 4.8; 16.30 
4; 22.63; 160.8; 4617; 0.17; 0.008; 3.77; 60.64; 6.2; 16.39 
5; 22.68; 162.2; 4438; 0.25; 0.011; 5.33; 61.29; 8.7; 16.53
6; 22.44; 163.9; 4258; 0.32; 0.014; 6.46; 61.29; 10.5; 16.71
7; 22.60; 164.7; 3959; 0.41; 0.019; 7.73; 62.05; 12.5; 16.79
8; 22.41; 166.1; 3780; 0.51; 0.023; 9.02; 62.06; 14.5; 16.94
9; 22.29; 167.8; 3536; 0.66; 0.030; 10.97; 62.36; 17.6; 17.11
10; 22.12; 169.0; 3237; 0.76; 0.034; 11.56; 62.29; 18.6; 17.22
11; 22.22; 171.2; 2938; 0.84; 0.038; 11.62; 63.41; 18.3; 17.45
12; 21.93; 172.6; 2580; 0.91; 0.041; 11.02; 63.10; 17.5; 17.60
13; 21.91; 174.1; 2221; 0.99; 0.044; 10.34; 63.57; 16.3; 17.74
14; 21.83; 175.2; 1977; 1.09 ; 0.049; 10.19; 63.73; 16.0; 17.86
15; 21.84; 176.3; 1678; 1.17; 0.053; 9.27; 64.18; 14.4; 17.97
16; 21.59; 178.0; 1260; 1.30; 0.058; 7.71; 64.06; 12.0; 18.15
17; 21.56; 179.1; 782; 1.41; 0.063; 5.18; 64.38; 8.0; 18.26
18; 21.52; 180.3; 299; 1.58; 0.071; 2.22; 64.65; 3.4; 18.38
19; 21.62; 180.8; 0; 1.64; 0.074; 0.00; 65.16; 0.0; 18.43
 
