20.30; 129.4; 4378; 0.01; 0.000; 0.15; 43.79; 0.3; 13.19
20.38; 131.4; 4210; 0.02; 0.001; 0.49; 44.62; 1.1; 13.39
20.39; 131.1; 4130; 0.06; 0.003; 1.24; 44.55; 2.8; 13.36
20.27; 132.2; 4019; 0.12; 0.005; 2.28; 44.68; 5.1; 13.48
20.27; 132.8; 3840; 0.18; 0.008; 3.27; 44.87; 7.3; 13.54
20.10; 134.5; 3536; 0.25; 0.011; 4.25; 45.05; 9.4; 13.71
20.11; 135.6; 3357; 0.30; 0.014; 4.76; 45.46; 10.5; 13.83
19.97; 136.8; 3058; 0.32; 0.014; 4.64; 45.51; 10.2; 13.94
19.92; 138.4; 2759; 0.41; 0.019; 5.39; 45.97; 11.7; 14.11
19.85; 140.7; 2520; 0.47; 0.021; 5.59; 46.55; 12.0; 14.34
19.80; 141.8; 2157; 0.56; 0.025; 5.65; 46.82; 12.1; 14.46
19.73; 143.0; 1798; 0.65; 0.029; 5.52; 47.02; 11.7; 14.57
19.75; 144.1; 1499; 0.75; 0.034; 5.33; 47.42; 11.2; 14.69
19.54; 144.9; 1081; 0.88; 0.040; 4.49; 47.21; 9.5; 14.78
19.44; 145.8; 901; 0.97; 0.044; 4.12; 47.23; 8.7; 14.86
19.51; 146.6; 538; 1.09; 0.049; 2.75; 47.69; 5.8; 14.95
19.53; 148.6; 120; 1.26; 0.057; 0.71; 48.37; 1.5; 15.15
19.28; 149.2; 0; 1.54; 0.069; 0.00; 47.93; 0.0; 15.21
